Experience ID,0

Breakdown,Date,Daily Active Users
Total,2024-02-23T00:00:00.000Z,264
Total,2024-02-24T00:00:00.000Z,355
Total,2024-02-25T00:00:00.000Z,345
Total,2024-02-26T00:00:00.000Z,252
Total,2024-02-27T00:00:00.000Z,187
Total,2024-02-28T00:00:00.000Z,197
Total,2024-02-29T00:00:00.000Z,190
Total,2024-03-01T00:00:00.000Z,234
Total,2024-03-02T00:00:00.000Z,379
Total,2024-03-03T00:00:00.000Z,400
Total,2024-03-04T00:00:00.000Z,253
Total,2024-03-05T00:00:00.000Z,246
Total,2024-03-06T00:00:00.000Z,244
Total,2024-03-07T00:00:00.000Z,253
Total,2024-03-08T00:00:00.000Z,298
Total,2024-03-09T00:00:00.000Z,374
Total,2024-03-10T00:00:00.000Z,405
Total,2024-03-11T00:00:00.000Z,283
Total,2024-03-12T00:00:00.000Z,271
Total,2024-03-13T00:00:00.000Z,270
Total,2024-03-14T00:00:00.000Z,302
Total,2024-03-15T00:00:00.000Z,305
Total,2024-03-16T00:00:00.000Z,372
Total,2024-03-17T00:00:00.000Z,452
Total,2024-03-18T00:00:00.000Z,284
Total,2024-03-19T00:00:00.000Z,388
Total,2024-03-20T00:00:00.000Z,372
Total,2024-03-21T00:00:00.000Z,382
Total,2024-03-22T00:00:00.000Z,416
Total,2024-03-23T00:00:00.000Z,555
Total,2024-03-24T00:00:00.000Z,552
Total,2024-03-25T00:00:00.000Z,454
Total,2024-03-26T00:00:00.000Z,408
Total,2024-03-27T00:00:00.000Z,423
Total,2024-03-28T00:00:00.000Z,396
Total,2024-03-29T00:00:00.000Z,456
Total,2024-03-30T00:00:00.000Z,454
Total,2024-03-31T00:00:00.000Z,432
Total,2024-04-01T00:00:00.000Z,376
Total,2024-04-02T00:00:00.000Z,320
Total,2024-04-03T00:00:00.000Z,320
Total,2024-04-04T00:00:00.000Z,349
Total,2024-04-05T00:00:00.000Z,339
Total,2024-04-06T00:00:00.000Z,388
Total,2024-04-07T00:00:00.000Z,382
Total,2024-04-08T00:00:00.000Z,339
Total,2024-04-09T00:00:00.000Z,340
Total,2024-04-10T00:00:00.000Z,338
Total,2024-04-11T00:00:00.000Z,335
Total,2024-04-12T00:00:00.000Z,403
Total,2024-04-13T00:00:00.000Z,630
Total,2024-04-14T00:00:00.000Z,578
Total,2024-04-15T00:00:00.000Z,424
Total,2024-04-16T00:00:00.000Z,466
Total,2024-04-17T00:00:00.000Z,470
Total,2024-04-18T00:00:00.000Z,481
Total,2024-04-19T00:00:00.000Z,645
Total,2024-04-20T00:00:00.000Z,905
Total,2024-04-21T00:00:00.000Z,786
Total,2024-04-22T00:00:00.000Z,506
Total,2024-04-23T00:00:00.000Z,525
Total,2024-04-24T00:00:00.000Z,563
Total,2024-04-25T00:00:00.000Z,599
Total,2024-04-26T00:00:00.000Z,574
Total,2024-04-27T00:00:00.000Z,697
Total,2024-04-28T00:00:00.000Z,711
Total,2024-04-29T00:00:00.000Z,505
Total,2024-04-30T00:00:00.000Z,437
Total,2024-05-01T00:00:00.000Z,462
Total,2024-05-02T00:00:00.000Z,414
Total,2024-05-03T00:00:00.000Z,445
Total,2024-05-04T00:00:00.000Z,552
Total,2024-05-05T00:00:00.000Z,541
Total,2024-05-06T00:00:00.000Z,433
Total,2024-05-07T00:00:00.000Z,414
Total,2024-05-08T00:00:00.000Z,428
Total,2024-05-09T00:00:00.000Z,441
Total,2024-05-10T00:00:00.000Z,476
Total,2024-05-11T00:00:00.000Z,528
Total,2024-05-12T00:00:00.000Z,505
Total,2024-05-13T00:00:00.000Z,361
Total,2024-05-14T00:00:00.000Z,323
Total,2024-05-15T00:00:00.000Z,293
Total,2024-05-16T00:00:00.000Z,245
Total,2024-05-17T00:00:00.000Z,258
Total,2024-05-18T00:00:00.000Z,409
